Wavelength (nm)	Cross section (cm2)
2.8736e+02	0.0000e+00
2.8747e+02	0.0000e+00
2.8758e+02	0.0000e+00
2.8770e+02	0.0000e+00
2.8781e+02	0.0000e+00
2.8792e+02	0.0000e+00
2.8803e+02	0.0000e+00
2.8814e+02	0.0000e+00
2.8825e+02	0.0000e+00
2.8836e+02	0.0000e+00
2.8848e+02	0.0000e+00
2.8859e+02	0.0000e+00
2.8870e+02	0.0000e+00
2.8881e+02	0.0000e+00
2.8892e+02	0.0000e+00
2.8903e+02	0.0000e+00
2.8914e+02	0.0000e+00
2.8925e+02	0.0000e+00
2.8937e+02	0.0000e+00
2.8948e+02	0.0000e+00
2.8959e+02	0.0000e+00
2.8970e+02	0.0000e+00
2.8981e+02	0.0000e+00
2.8992e+02	0.0000e+00
2.9003e+02	0.0000e+00
2.9015e+02	0.0000e+00
2.9026e+02	0.0000e+00
2.9037e+02	0.0000e+00
2.9048e+02	0.0000e+00
2.9059e+02	0.0000e+00
2.9070e+02	0.0000e+00
2.9081e+02	0.0000e+00
2.9092e+02	0.0000e+00
2.9104e+02	0.0000e+00
2.9115e+02	0.0000e+00
2.9126e+02	0.0000e+00
2.9137e+02	0.0000e+00
2.9148e+02	0.0000e+00
2.9159e+02	0.0000e+00
2.9170e+02	0.0000e+00
2.9181e+02	0.0000e+00
2.9192e+02	0.0000e+00
2.9204e+02	0.0000e+00
2.9215e+02	0.0000e+00
2.9226e+02	0.0000e+00
2.9237e+02	0.0000e+00
2.9248e+02	0.0000e+00
2.9259e+02	0.0000e+00
2.9270e+02	0.0000e+00
2.9281e+02	0.0000e+00
2.9293e+02	0.0000e+00
2.9304e+02	0.0000e+00
2.9315e+02	0.0000e+00
2.9326e+02	0.0000e+00
2.9337e+02	0.0000e+00
2.9348e+02	0.0000e+00
2.9359e+02	0.0000e+00
2.9370e+02	0.0000e+00
2.9381e+02	0.0000e+00
2.9392e+02	0.0000e+00
2.9404e+02	0.0000e+00
2.9415e+02	0.0000e+00
2.9426e+02	0.0000e+00
2.9437e+02	0.0000e+00
2.9448e+02	0.0000e+00
2.9459e+02	0.0000e+00
2.9470e+02	0.0000e+00
2.9481e+02	0.0000e+00
2.9492e+02	0.0000e+00
2.9503e+02	0.0000e+00
2.9514e+02	0.0000e+00
2.9526e+02	0.0000e+00
2.9537e+02	0.0000e+00
2.9548e+02	0.0000e+00
2.9559e+02	0.0000e+00
2.9570e+02	0.0000e+00
2.9581e+02	0.0000e+00
2.9592e+02	0.0000e+00
2.9603e+02	3.3317e-21
2.9614e+02	3.5946e-21
2.9625e+02	3.8575e-21
2.9636e+02	4.1204e-21
2.9648e+02	4.4072e-21
2.9659e+02	4.6701e-21
2.9670e+02	4.9330e-21
2.9681e+02	5.1959e-21
2.9692e+02	5.4588e-21
2.9703e+02	5.6356e-21
2.9714e+02	5.5828e-21
2.9725e+02	5.5300e-21
2.9736e+02	5.4772e-21
2.9747e+02	5.4244e-21
2.9758e+02	5.3716e-21
2.9769e+02	5.3188e-21
2.9780e+02	5.2660e-21
2.9792e+02	5.2084e-21
2.9803e+02	5.1436e-21
2.9814e+02	5.0468e-21
2.9825e+02	4.9500e-21
2.9836e+02	4.8532e-21
2.9847e+02	4.7564e-21
2.9858e+02	4.6596e-21
2.9869e+02	4.5628e-21
2.9880e+02	4.4660e-21
2.9891e+02	4.3692e-21
2.9902e+02	4.3276e-21
2.9913e+02	4.5344e-21
2.9924e+02	4.7412e-21
2.9935e+02	4.9480e-21
2.9946e+02	5.1548e-21
2.9957e+02	5.3616e-21
2.9969e+02	5.5872e-21
2.9980e+02	5.7940e-21
2.9991e+02	6.0008e-21
3.0002e+02	6.1846e-21
3.0013e+02	6.2649e-21
3.0024e+02	6.3452e-21
3.0035e+02	6.4255e-21
3.0046e+02	6.5058e-21
3.0057e+02	6.5861e-21
3.0068e+02	6.6664e-21
3.0079e+02	6.7467e-21
3.0090e+02	6.8270e-21
3.0101e+02	6.8889e-21
3.0112e+02	6.7668e-21
3.0123e+02	6.6447e-21
3.0134e+02	6.5226e-21
3.0145e+02	6.4005e-21
3.0156e+02	6.2784e-21
3.0167e+02	6.1563e-21
3.0178e+02	6.0342e-21
3.0190e+02	5.9010e-21
3.0201e+02	5.8246e-21
3.0212e+02	6.2052e-21
3.0223e+02	6.5858e-21
3.0234e+02	6.9664e-21
3.0245e+02	7.3470e-21
3.0256e+02	7.7276e-21
3.0267e+02	8.1082e-21
3.0278e+02	8.4888e-21
3.0289e+02	8.8694e-21
3.0300e+02	9.2500e-21
3.0311e+02	9.3765e-21
3.0322e+02	9.5030e-21
3.0333e+02	9.6295e-21
3.0344e+02	9.7560e-21
3.0355e+02	9.8825e-21
3.0366e+02	1.0009e-20
3.0377e+02	1.0135e-20
3.0388e+02	1.0262e-20
3.0399e+02	1.0389e-20
3.0410e+02	1.0930e-20
3.0421e+02	1.1513e-20
3.0432e+02	1.2096e-20
3.0443e+02	1.2679e-20
3.0454e+02	1.3262e-20
3.0465e+02	1.3845e-20
3.0476e+02	1.4428e-20
3.0487e+02	1.5011e-20
3.0498e+02	1.5594e-20
3.0509e+02	1.5448e-20
3.0520e+02	1.5140e-20
3.0531e+02	1.4832e-20
3.0542e+02	1.4524e-20
3.0553e+02	1.4216e-20
3.0564e+02	1.3908e-20
3.0575e+02	1.3600e-20
3.0586e+02	1.3292e-20
3.0597e+02	1.2984e-20
3.0608e+02	1.2601e-20
3.0619e+02	1.2189e-20
3.0630e+02	1.1778e-20
3.0641e+02	1.1367e-20
3.0652e+02	1.0955e-20
3.0663e+02	1.0544e-20
3.0674e+02	1.0132e-20
3.0685e+02	9.7210e-21
3.0696e+02	9.3096e-21
3.0707e+02	9.5338e-21
3.0718e+02	1.0121e-20
3.0729e+02	1.0709e-20
3.0740e+02	1.1296e-20
3.0751e+02	1.1883e-20
3.0762e+02	1.2471e-20
3.0773e+02	1.3058e-20
3.0784e+02	1.3646e-20
3.0795e+02	1.4233e-20
3.0806e+02	1.4836e-20
3.0817e+02	1.5452e-20
3.0828e+02	1.6068e-20
3.0839e+02	1.6684e-20
